Datum,max,avg,min,humidity
01.05.20,18,13.5,10,63.9
02.05.20,16,10.5,6,77.2
03.05.20,15,10.5,6,73.0
04.05.20,12,9.2,4,82.7
05.05.20,11,7.1,1,73.6
06.05.20,17,11.3,5,56.4
07.05.20,17,10.7,6,66.3
08.05.20,21,14.6,6,53.9
09.05.20,23,16.7,7,48.1
10.05.20,25,18.0,11,60.9
11.05.20,16,7.8,3,84.9
12.05.20,12,6.7,0,63.4
13.05.20,15,10.2,6,58.4
14.05.20,14,9.8,6,58.7
15.05.20,15,9.7,1,56.2
16.05.20,16,12.1,7,55.4
17.05.20,18,13.6,9,54.5
18.05.20,22,16.0,10,53.5
19.05.20,20,14.7,10,70.2
20.05.20,21,15.3,8,55.0
21.05.20,21,15.5,7,48.3
22.05.20,23,18.1,11,41.0
23.05.20,20,15.7,12,69.8
24.05.20,17,12.4,8,75.8
25.05.20,14,12.2,10,81.5
26.05.20,21,15.0,6,62.9
27.05.20,23,16.3,7,55.9
28.05.20,21,15.6,12,53.9
29.05.20,21,15.2,9,52.3
30.05.20,18,14.1,9,53.5
31.05.20,23,15.8,9,57.9
01.06.20,25,17.5,9,51.5
02.06.20,28,20.6,11,43.5
03.06.20,25,19.8,13,44.3
04.06.20,26,18.9,14,57.8
05.06.20,18,14.3,11,74.6
06.06.20,19,13.8,9,62.7
07.06.20,17,15.9,15,65.7
08.06.20,22,16.8,8,55.5
09.06.20,22,18.2,12,52.9
10.06.20,22,17.0,12,62.3
11.06.20,20,17.0,14,89.5
12.06.20,28,20.5,14,75.8
13.06.20,32,22.1,18,79.8
14.06.20,26,21.4,18,70.4
15.06.20,26,20.6,15,54.6
16.06.20,27,21.4,13,54.0
17.06.20,29,23.5,15,50.3
18.06.20,27,22.1,19,58.9
19.06.20,21,18.3,16,78.4
20.06.20,18,16.7,16,85.5
21.06.20,24,18.4,14,72.8
22.06.20,26,20.0,12,57.2
23.06.20,24,19.8,14,49.4
24.06.20,26,20.9,13,58.2
25.06.20,28,23.4,19,59.2
26.06.20,29,23.3,19,64.5
27.06.20,32,24.9,17,57.6
28.06.20,28,22.3,19,69.0
29.06.20,24,19.3,15,60.9
30.06.20,24,18.5,14,55.3
